Trade_ID,Firm_ID,Amount,Status
1,101,42516.78,PASS
2,105,58518.68,PASS
3,105,34695.74,PASS
4,102,38629.78,PASS
5,101,46319.92,PASS
6,103,54450.54,PASS
7,103,22742.91,PASS
8,102,15965.99,PASS
9,105,52454.28,FAIL
10,102,55011.03,PASS
11,105,49418.67,PASS
12,105,43719.61,PASS
13,105,62731.03,PASS
14,105,60674.13,PASS
15,102,44783.32,PASS
16,103,36385.47,PASS
17,101,24082.33,PASS
18,102,64182.87,FAIL
19,102,32624.14,PASS
20,101,68358.84,PASS
21,105,44423.15,PASS
22,104,39542.23,PASS
23,105,64919.08,FAIL
24,105,51191.84,PASS
25,103,61881.83,FAIL
26,104,26921.86,PASS
27,105,67469.94,PASS
28,101,39490.56,PASS
29,102,41364.07,PASS
30,104,55550.81,PASS
31,105,67004.4,PASS
32,105,25500.96,PASS
33,103,46504.72,PASS
34,101,51267.04,PASS
35,105,49856.98,PASS
36,103,63708.28,PASS
37,101,74839.94,PASS
38,103,65603.42,FAIL
39,104,76103.05,PASS
40,103,57368.04,FAIL
41,102,79884.69,PASS
42,103,54502.72,PASS
43,105,46022.07,PASS
44,105,61565.35,PASS
45,103,21061.4,PASS
46,104,77396.27,PASS
47,102,33018.86,PASS
48,101,53694.07,FAIL
49,101,56433.87,PASS
50,103,73056.2,PASS
51,101,67904.21,FAIL
52,101,44202.88,FAIL
53,101,38817.12,PASS
54,104,88529.76,PASS
55,101,31983.36,PASS
56,103,61039.11,PASS
57,101,76702.35,PASS
58,101,58357.94,PASS
59,103,39095.76,FAIL
60,105,67989.83,PASS
61,104,50653.45,PASS
62,102,39974.29,PASS
63,103,69826.65,PASS
64,104,61964.11,PASS
65,104,27419.67,PASS
66,101,58492.46,FAIL
67,102,56683.23,PASS
68,105,49958.63,PASS
69,103,74813.41,PASS
70,102,51321.33,PASS
71,101,69575.04,PASS
72,101,44701.42,PASS
73,105,34857.17,PASS
74,103,40565.05,PASS
75,102,65941.34,PASS
76,104,57228.66,PASS
77,105,37388.62,PASS
78,105,50073.55,PASS
79,102,38521.12,PASS
80,104,52822.25,PASS
81,101,63107.32,PASS
82,104,57038.32,PASS
83,102,50097.59,PASS
84,101,47322.53,PASS
85,103,36485.33,FAIL
86,105,15814.53,PASS
87,104,47908.16,PASS
88,102,31643.26,PASS
89,101,80639.66,PASS
90,103,70608.06,PASS
91,101,40208.98,PASS
92,103,42587.82,PASS
93,104,46797.46,FAIL
94,103,42709.89,PASS
95,104,43378.19,PASS
96,101,74204.09,PASS
97,105,45183.4,PASS
98,105,56999.84,PASS
99,102,37906.93,PASS
100,103,62957.63,PASS
101,102,61249.13,PASS
102,101,45236.73,PASS
103,102,37497.99,PASS
104,102,56056.6,PASS
105,102,67161.88,PASS
106,103,63965.27,PASS
107,101,44200.84,PASS
108,101,40922.48,PASS
109,105,58955.64,PASS
110,105,38469.49,PASS
111,104,54677.25,FAIL
112,105,26588.02,PASS
113,101,49359.59,PASS
114,105,10230.55,PASS
115,102,69202.75,PASS
116,103,63714.29,PASS
117,101,51824.81,PASS
118,103,50127.55,PASS
119,102,41786.95,PASS
120,101,79189.34,PASS
121,105,54081.05,PASS
122,102,76794.65,PASS
123,102,45994.97,PASS
124,104,61112.06,PASS
125,104,34769.94,PASS
126,103,51346.72,PASS
127,103,48257.72,PASS
128,104,47592.77,PASS
129,101,40983.37,PASS
130,105,27140.46,PASS
131,104,63797.8,PASS
132,101,32151.98,FAIL
133,102,45221.85,PASS
134,105,37807.52,PASS
135,104,52391.79,PASS
136,102,75192.33,PASS
137,103,25508.11,PASS
138,105,46249.77,PASS
139,103,49205.68,PASS
140,102,60935.69,PASS
141,102,43069.66,PASS
142,101,59439.56,PASS
143,105,49237.51,PASS
144,101,49435.6,PASS
145,103,24838.94,FAIL
146,105,67767.47,PASS
147,102,50157.45,PASS
148,104,34532.11,PASS
149,104,43587.7,PASS
150,104,65494.27,PASS
151,104,36794.98,FAIL
152,101,56047.5,PASS
153,104,52240.24,PASS
154,101,40310.71,PASS
155,104,57848.91,PASS
156,102,44421.34,PASS
157,102,6745.73,PASS
158,102,42895.2,PASS
159,102,57565.87,PASS
160,104,57173.02,PASS
161,103,67115.74,PASS
162,103,42071.41,PASS
163,105,62060.02,PASS
164,102,48493.53,PASS
165,104,50199.66,PASS
166,103,18991.26,PASS
167,102,36390.44,PASS
168,103,44981.68,FAIL
169,102,60719.09,PASS
170,103,59711.18,PASS
171,102,46088.01,FAIL
172,102,57467.17,FAIL
173,101,58104.37,PASS
174,102,63088.64,PASS
175,104,60430.05,PASS
176,105,29803.32,PASS
177,105,42521.9,PASS
178,105,34520.4,PASS
179,105,52780.67,PASS
180,105,36124.43,PASS
181,104,39638.86,PASS
182,105,52550.17,FAIL
183,101,39952.39,PASS
184,101,40871.81,PASS
185,104,30291.65,PASS
186,101,64202.97,PASS
187,102,10139.04,PASS
188,105,67073.38,PASS
189,104,45961.46,PASS
190,105,52003.43,FAIL
191,102,50368.11,PASS
192,102,52573.24,PASS
193,101,51902.51,PASS
194,103,69784.48,PASS
195,103,78134.96,PASS
196,103,69323.03,PASS
197,103,51219.94,PASS
198,105,63881.26,PASS
199,104,67323.71,PASS
200,101,48792.65,PASS
201,104,41081.93,PASS
202,101,35246.95,PASS
203,105,26178.01,PASS
204,103,51488.89,PASS
205,101,31679.87,PASS
206,105,62422.85,PASS
207,102,58542.28,FAIL
208,101,68061.06,PASS
209,102,32078.43,PASS
210,103,20749.95,PASS
211,105,46616.64,PASS
212,105,60123.53,PASS
213,101,42328.37,FAIL
214,105,80690.58,PASS
215,102,30272.53,PASS
216,101,30327.42,PASS
217,101,60352.65,FAIL
218,105,57892.85,FAIL
219,105,64151.97,PASS
220,105,68674.05,PASS
221,104,53139.49,PASS
222,104,33424.2,PASS
223,101,51395.64,PASS
224,101,49750.44,PASS
225,104,81101.71,PASS
226,102,46957.2,PASS
227,103,66093.23,PASS
228,104,47707.7,PASS
229,104,33196.66,PASS
230,103,26546.52,PASS
231,102,63584.13,PASS
232,102,46953.72,PASS
233,102,68720.55,PASS
234,102,41297.21,PASS
235,101,24299.85,PASS
236,102,67923.72,PASS
237,105,50632.92,PASS
238,104,80260.1,PASS
239,105,31098.6,PASS
240,102,49696.6,PASS
241,102,47967.85,PASS
242,101,60326.48,FAIL
243,103,64367.11,FAIL
244,105,50566.22,PASS
245,103,43849.13,PASS
246,104,69093.01,PASS
247,102,41529.52,PASS
248,104,53702.73,PASS
249,102,45669.01,PASS
250,104,49352.24,PASS
251,105,65487.11,PASS
252,104,32399.97,PASS
253,103,53384.56,PASS
254,105,38250.65,PASS
255,105,55763.52,PASS
256,101,87997.65,FAIL
257,103,36242.2,PASS
258,104,57188.66,PASS
259,101,36474.76,PASS
260,103,75657.12,FAIL
261,104,61185.04,PASS
262,102,67736.37,PASS
263,105,38477.0,PASS
264,104,57676.64,PASS
265,102,50476.49,PASS
266,102,43079.15,FAIL
267,101,50754.84,PASS
268,105,58351.02,PASS
269,102,76425.58,PASS
270,104,31779.77,PASS
271,103,11844.04,PASS
272,104,47902.93,PASS
273,105,66807.04,PASS
274,104,58120.77,PASS
275,105,56516.13,PASS
276,105,50706.42,PASS
277,102,72412.73,PASS
278,103,55517.84,PASS
279,104,47237.25,PASS
280,101,44349.72,PASS
281,103,60657.96,PASS
282,105,58440.89,PASS
283,105,55904.2,PASS
284,104,44979.74,PASS
285,102,46069.14,FAIL
286,103,57082.26,PASS
287,104,36200.54,PASS
288,103,52118.18,PASS
289,103,56729.05,PASS
290,105,49688.01,PASS
291,105,61048.98,PASS
292,103,40254.17,PASS
293,103,76588.84,PASS
294,101,50986.05,PASS
295,101,60005.54,PASS
296,103,36142.38,PASS
297,103,86042.43,PASS
298,102,38629.38,PASS
299,102,40627.25,FAIL
300,102,65417.72,PASS
301,102,47646.98,PASS
302,103,54825.22,PASS
303,103,43104.12,PASS
304,103,33982.56,PASS
305,104,38167.64,PASS
306,104,55210.96,PASS
307,101,67059.29,PASS
308,101,40747.44,PASS
309,102,37086.01,PASS
310,102,43646.1,PASS
311,102,69850.02,PASS
312,104,27026.88,PASS
313,101,84739.88,PASS
314,104,42877.23,PASS
315,105,62944.49,PASS
316,102,50724.82,PASS
317,102,34281.5,PASS
318,101,34724.75,FAIL
319,105,47265.39,PASS
320,103,29422.61,PASS
321,101,71389.06,PASS
322,104,24745.28,PASS
323,103,50285.91,PASS
324,101,52104.13,PASS
325,101,66608.86,PASS
326,105,51192.16,PASS
327,105,22010.63,PASS
328,105,82226.47,PASS
329,102,41590.47,PASS
330,105,65065.35,PASS
331,102,59493.15,PASS
332,105,50101.95,PASS
333,105,59918.22,PASS
334,101,42011.78,PASS
335,105,55728.15,PASS
336,105,53864.49,PASS
337,102,60056.26,PASS
338,105,55849.24,PASS
339,102,48862.37,PASS
340,102,44172.68,PASS
341,101,38476.5,PASS
342,101,29927.0,PASS
343,103,51304.15,PASS
344,105,33470.88,PASS
345,102,71919.46,FAIL
346,102,36608.46,PASS
347,105,25685.09,PASS
348,104,55482.1,PASS
349,105,64586.55,PASS
350,104,20151.77,PASS
351,103,41504.4,PASS
352,102,54467.84,PASS
353,102,34678.69,PASS
354,105,70773.31,PASS
355,104,51666.88,PASS
356,101,38987.0,PASS
357,105,36965.76,PASS
358,103,45494.86,PASS
359,103,56477.09,PASS
360,105,31779.81,PASS
361,105,84298.93,PASS
362,105,26930.1,PASS
363,102,50859.72,FAIL
364,103,29613.45,PASS
365,105,74934.46,PASS
366,104,55204.23,PASS
367,104,48084.3,PASS
368,104,33115.3,PASS
369,102,46514.12,PASS
370,104,56884.92,PASS
371,102,68678.97,PASS
372,101,41930.1,PASS
373,105,41847.08,PASS
374,103,47180.69,PASS
375,105,43766.15,PASS
376,103,50094.93,PASS
377,103,61623.89,PASS
378,105,40489.44,PASS
379,104,46869.46,PASS
380,104,45922.08,PASS
381,104,42324.46,PASS
382,104,62279.24,PASS
383,104,45697.63,PASS
384,101,59584.6,PASS
385,102,52440.88,PASS
386,101,40196.92,PASS
387,101,36612.34,PASS
388,105,55998.67,PASS
389,104,63121.51,PASS
390,105,36287.52,PASS
391,103,67960.74,PASS
392,105,47687.06,PASS
393,103,61682.19,PASS
394,103,41859.48,PASS
395,103,84469.12,PASS
396,102,23951.29,FAIL
397,101,41521.98,PASS
398,105,55983.24,PASS
399,102,69647.28,PASS
400,103,23235.17,PASS
401,102,47105.24,PASS
402,103,55923.59,PASS
403,103,61359.17,PASS
404,103,79097.78,FAIL
405,102,51767.64,PASS
406,103,57777.01,PASS
407,102,65103.31,PASS
408,104,52207.41,PASS
409,104,58967.68,PASS
410,103,39775.77,PASS
411,105,64226.67,PASS
